,location,dt,tweets,sentiment
760,albay,2012-11-01,-0.3484450860756869,1.4068470058851303
761,albay,2012-11-02,-0.3484450860756869,0.08866112817458041
762,albay,2012-11-03,-0.3575499622752073,0.9898653723082274
763,albay,2012-11-04,-0.3545150035420338,0.40376547743705155
764,albay,2012-11-05,-0.37879467340742157,0.8922639015004872
765,albay,2012-11-06,-0.3545150035420338,0.9456081124230749
766,albay,2012-11-07,-0.3970044258064624,-0.37716341705438705
767,albay,2012-11-08,-0.39093450834011545,-0.5266627236071273
768,albay,2012-11-09,-0.3545150035420338,-0.3791864680987775
769,albay,2012-11-10,-0.3970044258064624,0.37970487913139606
770,albay,2012-11-11,-0.3454101273425134,-3.65691151537262
771,albay,2012-11-12,-0.3272003749434726,-0.8645143503388474
772,albay,2012-11-13,-0.3454101273425134,-1.3288571009913728
773,albay,2012-11-14,-0.34237516860934,0.7119127565776053
774,albay,2012-11-15,-0.387899549606942,-0.623254549179362
775,albay,2012-11-16,-0.4000393845396359,1.1218183584728891
776,albay,2012-11-17,-0.3727247559410746,1.082300496928053
777,albay,2012-11-18,-0.40307434327280933,-0.6434913981972618
778,albay,2012-11-19,-0.3484450860756869,0.2504582690351122
779,albay,2012-11-20,-0.3272003749434726,-0.6793922939940362
780,albay,2012-11-21,-0.39093450834011545,-0.10030210979385401
781,albay,2012-11-22,-0.3696897972079012,1.561362622804879
782,albay,2012-11-23,-0.3757597146742481,0.4739140714417402
783,albay,2012-11-24,-0.3666548384747277,1.6977358693681728
784,albay,2012-11-25,-0.3484450860756869,-0.6242479527769332
785,albay,2012-11-26,-0.38182963214059507,0.3972474631239532
786,albay,2012-11-27,-0.2998857463449114,0.7020604970015163
787,albay,2012-11-28,-0.3454101273425134,1.0688262178446497
788,albay,2012-11-29,-0.3545150035420338,0.14095403251520114
789,albay,2012-11-30,-0.3180954987439522,-1.3802126327515272
1490,albay,2014-11-01,-0.33630525114299303,0.9341287137795802
1491,albay,2014-11-02,-0.34237516860934,-0.10131730412948407
1492,albay,2014-11-03,-0.25436136534730935,-2.4126958993231744
1493,albay,2014-11-04,-0.2573963240804828,-1.4560306254857356
1494,albay,2014-11-05,-0.36058492100838074,-0.007490042353870364
1495,albay,2014-11-06,-0.36058492100838074,0.9190011825767047
1496,albay,2014-11-07,-0.3150605400107787,1.6294946008260565
1497,albay,2014-11-08,-0.33630525114299303,1.7004682999337966
1498,albay,2014-11-09,-0.3696897972079012,0.6702397723813591
1499,albay,2014-11-10,-0.33327029240981954,0.8228415747340891
1500,albay,2014-11-11,-0.3545150035420338,0.8435943879310841
1501,albay,2014-11-12,-0.33327029240981954,-0.29492999118605584
1502,albay,2014-11-13,-0.3272003749434726,-0.6739324002705506
1503,albay,2014-11-14,-0.3302353336766461,-0.8614408024610307
1504,albay,2014-11-15,-0.34237516860934,1.8212249596732009
1505,albay,2014-11-16,-0.38182963214059507,1.078064178543344
1506,albay,2014-11-17,-0.38182963214059507,1.8528990184263647
1507,albay,2014-11-18,-0.34237516860934,0.044451296975449014
1508,albay,2014-11-19,-0.387899549606942,0.291564890884226
1509,albay,2014-11-20,-0.36361987974155424,-0.8849975400865105
1510,albay,2014-11-21,-0.31202558127760527,0.3245696438071759
1511,albay,2014-11-22,-0.3666548384747277,1.051639986190326
1512,albay,2014-11-23,-0.36058492100838074,1.685663232542567
1513,albay,2014-11-24,-0.3150605400107787,0.802043160468316
1514,albay,2014-11-25,-0.3575499622752073,1.225230730740064
1515,albay,2014-11-26,-0.38182963214059507,1.529468324367067
1516,albay,2014-11-27,-0.38182963214059507,0.4806035765397318
1517,albay,2014-11-28,-0.37879467340742157,0.9241606521182243
1518,albay,2014-11-29,-0.25436136534730935,-2.404976360748345
1519,albay,2014-11-30,-0.2604312828136563,-2.2027111264418564
