,location,dt,tweets,sentiment
301,guimaras,2012-11-01,-0.023306077075769573,1.0102988598633642
302,guimaras,2012-11-02,-0.307848566945742,-0.30483382457442426
303,guimaras,2012-11-03,-0.1181535736990937,-0.42056433185887865
304,guimaras,2012-11-04,-0.2604248186340799,2.271829076671237
305,guimaras,2012-11-05,-0.307848566945742,-2.1413132792110883
306,guimaras,2012-11-06,0.403507657729189,0.7308058916585497
307,guimaras,2012-11-07,-0.07072982538743164,0.9727536908676336
308,guimaras,2012-11-08,-0.307848566945742,-1.5136926434021325
309,guimaras,2012-11-09,-0.16557732201075576,0.9289202520547938
310,guimaras,2012-11-10,0.11896516785921663,0.3905164325650656
311,guimaras,2012-11-11,0.07154141954755455,-0.9720713769307368
312,guimaras,2012-11-12,0.6406263992874993,0.63506034345378
313,guimaras,2012-11-13,0.02411767123589249,1.3570639119011474
314,guimaras,2012-11-14,0.16638891617087867,1.2417232675988379
315,guimaras,2012-11-15,-0.023306077075769573,0.2845410524055501
316,guimaras,2012-11-16,-0.16557732201075576,-0.09029493382047091
317,guimaras,2012-11-17,-0.16557732201075576,-0.3221425442435796
318,guimaras,2012-11-18,-0.023306077075769573,0.9040933121734355
319,guimaras,2012-11-19,-0.1181535736990937,-0.3668430558300035
320,guimaras,2012-11-20,-0.16557732201075576,1.049826918607734
321,guimaras,2012-11-21,-0.2604248186340799,0.12519862754406688
322,guimaras,2012-11-22,-0.16557732201075576,-0.27959541943456456
323,guimaras,2012-11-23,-0.21300107032241783,1.0905378120132792
324,guimaras,2012-11-24,-0.307848566945742,0.3301440800643847
325,guimaras,2012-11-25,-0.21300107032241783,-0.209266474886179
326,guimaras,2012-11-26,-0.307848566945742,1.4793698850677075
327,guimaras,2012-11-27,-0.307848566945742,0.3249571105915231
328,guimaras,2012-11-28,-0.023306077075769573,0.8965458880902619
329,guimaras,2012-11-29,0.16638891617087867,0.5533105870183028
330,guimaras,2012-11-30,0.07154141954755455,0.4869379942990871
1024,guimaras,2014-11-01,0.07154141954755455,0.4085235905206943
1025,guimaras,2014-11-02,-0.2604248186340799,-1.1600397743688482
1026,guimaras,2014-11-03,0.07154141954755455,-0.4652924277636965
1027,guimaras,2014-11-04,0.02411767123589249,0.9872683483052739
1028,guimaras,2014-11-05,-0.16557732201075576,0.33143881220932575
1029,guimaras,2014-11-06,-0.355272315257404,-4.951321464089379
1030,guimaras,2014-11-07,-0.1181535736990937,0.05980589133245649
1031,guimaras,2014-11-08,-0.1181535736990937,0.7548943181828977
1032,guimaras,2014-11-09,-0.023306077075769573,1.6973798602468126
1033,guimaras,2014-11-10,-0.21300107032241783,1.484972547943966
1034,guimaras,2014-11-11,-0.2604248186340799,1.6461985371783525
1035,guimaras,2014-11-12,-0.21300107032241783,1.1575340289059675
1036,guimaras,2014-11-13,-0.21300107032241783,0.7387879048948304
1037,guimaras,2014-11-14,-0.07072982538743164,1.1577966401510722
1038,guimaras,2014-11-15,0.2612364127942028,0.4199712409003014
1039,guimaras,2014-11-16,0.02411767123589249,-0.5635891051484823
1040,guimaras,2014-11-17,0.6406263992874993,0.3687509474182047
1041,guimaras,2014-11-18,-0.2604248186340799,-0.2191915381451751
1042,guimaras,2014-11-19,-0.16557732201075576,-0.1417599728292067
1043,guimaras,2014-11-20,-0.16557732201075576,1.112397647505418
