,location,dt,tweets,sentiment
21392,leyte,2010-11-01,-0.42128409567185016,-2.7825450672043814
21393,leyte,2010-11-02,-0.4121792194723297,-0.6939977001172705
21394,leyte,2010-11-03,-0.4121792194723297,-1.6146369459574896
21395,leyte,2010-11-04,-0.41824913693867666,-1.4517670646458167
21396,leyte,2010-11-05,-0.4091442607391563,0.4075436217310223
21397,leyte,2010-11-06,-0.4121792194723297,1.3620867010385218
21398,leyte,2010-11-07,-0.42128409567185016,0.42914064487176784
21399,leyte,2010-11-08,-0.4091442607391563,-2.5863393307802016
21400,leyte,2010-11-09,-0.41824913693867666,-2.3269605883200466
21401,leyte,2010-11-10,-0.4152141782055032,0.39956198709951424
21402,leyte,2010-11-11,-0.41824913693867666,-3.2849396170801595
21403,leyte,2010-11-12,-0.4152141782055032,1.687616872780583
21404,leyte,2010-11-14,-0.4152141782055032,1.3028959625895948
21405,leyte,2010-11-15,-0.41824913693867666,1.5832041277978004
21406,leyte,2010-11-16,-0.3848645908737685,-1.8776398800873375
21407,leyte,2010-11-17,-0.4091442607391563,-1.5188302517004073
21408,leyte,2010-11-18,-0.40610930200598283,-3.492854792380117
21409,leyte,2010-11-19,-0.40307434327280933,-2.263157245950074
21410,leyte,2010-11-20,-0.4091442607391563,0.5167634925220443
21411,leyte,2010-11-21,-0.41824913693867666,-0.44892411731254817
21412,leyte,2010-11-22,-0.40610930200598283,-0.8198407553381182
21413,leyte,2010-11-23,-0.4152141782055032,-1.540344772681972
21414,leyte,2010-11-24,-0.41824913693867666,-0.8557167375723579
21415,leyte,2010-11-25,-0.40307434327280933,1.6687138816027391
21416,leyte,2010-11-26,-0.4121792194723297,0.04862251175169446
21417,leyte,2010-11-27,-0.4091442607391563,0.6255982987800192
21418,leyte,2010-11-28,-0.4121792194723297,-1.0530253481571048
21419,leyte,2010-11-29,-0.42128409567185016,-0.12506475043606421
21420,leyte,2010-11-30,-0.4091442607391563,-0.513326773104187
21754,leyte,2011-11-01,-0.4121792194723297,-2.1212275168486565
21755,leyte,2011-11-02,-0.39396946707328895,-0.7211262786071251
21756,leyte,2011-11-03,-0.38182963214059507,-0.6691803913187271
21757,leyte,2011-11-04,-0.40610930200598283,1.1593406399808701
21758,leyte,2011-11-05,-0.40307434327280933,-0.19728576360160896
21759,leyte,2011-11-06,-0.3848645908737685,-2.419472590581864
21760,leyte,2011-11-07,-0.31202558127760527,-1.1449455444094079
21761,leyte,2011-11-08,-0.39093450834011545,-0.07815603515506074
21762,leyte,2011-11-09,-0.3575499622752073,1.4294955506048603
21763,leyte,2011-11-10,-0.387899549606942,-0.8210489150511633
21764,leyte,2011-11-11,-0.35148004480886036,-1.9459668339962108
21765,leyte,2011-11-12,-0.37879467340742157,-0.7016166519896098
21766,leyte,2011-11-13,-0.4121792194723297,-3.5769438332828254
21767,leyte,2011-11-14,-0.4121792194723297,-2.665364891857412
21768,leyte,2011-11-15,-0.3272003749434726,-1.7473385675100068
21769,leyte,2011-11-16,-0.4121792194723297,-0.2064194863319549
21770,leyte,2011-11-17,-0.41824913693867666,0.9083258466132957
21771,leyte,2011-11-18,-0.4152141782055032,-1.529676399418465
