,location,dt,tweets,sentiment
25750,masbate,2012-11-01,-0.4000393845396359,-1.8965943034606958
25751,masbate,2012-11-02,-0.4091442607391563,-0.11669069959395975
25752,masbate,2012-11-04,-0.4121792194723297,0.23291007611452763
25753,masbate,2012-11-05,-0.4121792194723297,-1.5052868687885148
25754,masbate,2012-11-06,-0.40307434327280933,-1.9441190333607101
25755,masbate,2012-11-07,-0.4091442607391563,-0.6576278281009084
25756,masbate,2012-11-08,-0.39093450834011545,-2.0925529251255077
25757,masbate,2012-11-09,-0.41824913693867666,0.44584978266495856
25758,masbate,2012-11-11,-0.35148004480886036,0.46925266966695256
25759,masbate,2012-11-12,-0.4091442607391563,0.8344035035612323
25760,masbate,2012-11-13,-0.3757597146742481,-4.1936030631518975
25761,masbate,2012-11-14,-0.4152141782055032,-1.739728394255409
25762,masbate,2012-11-15,-0.41824913693867666,-3.5855770767065778
25763,masbate,2012-11-16,-0.3970044258064624,0.31695527072739954
25764,masbate,2012-11-17,-0.4152141782055032,-0.9760960328446211
25765,masbate,2012-11-18,-0.4000393845396359,-2.9515979135494734
25766,masbate,2012-11-19,-0.34237516860934,-3.3818510150973973
25767,masbate,2012-11-20,-0.42128409567185016,0.07131979512321049
25768,masbate,2012-11-21,-0.41824913693867666,-1.3076515169792917
25769,masbate,2012-11-22,-0.4091442607391563,-2.2136746272036834
25770,masbate,2012-11-23,-0.37879467340742157,-4.043420120269562
25771,masbate,2012-11-24,-0.4091442607391563,-3.8921817908942806
25772,masbate,2012-11-25,-0.41824913693867666,2.166289363084037
25773,masbate,2012-11-26,-0.37879467340742157,-4.9909092241244934
25774,masbate,2012-11-27,-0.40307434327280933,-2.9347082220564356
25775,masbate,2012-11-28,-0.40610930200598283,-1.3761227953407629
25776,masbate,2012-11-29,-0.40307434327280933,0.2243616504825179
25777,masbate,2012-11-30,-0.4152141782055032,-2.650419322805561
26448,masbate,2014-11-01,-0.40307434327280933,-0.5282939367363988
26449,masbate,2014-11-02,-0.39093450834011545,-3.9637794406805953
26450,masbate,2014-11-03,-0.4091442607391563,-3.583678403872472
26451,masbate,2014-11-04,-0.39093450834011545,-1.551389257273911
26452,masbate,2014-11-05,-0.4091442607391563,-0.20449505199443224
26453,masbate,2014-11-06,-0.37879467340742157,-1.4377374771776859
26454,masbate,2014-11-07,-0.4121792194723297,1.577165949969477
26455,masbate,2014-11-08,-0.41824913693867666,1.4198535284596168
26456,masbate,2014-11-09,-0.37879467340742157,-3.557311217524508
26457,masbate,2014-11-10,-0.3757597146742481,-1.2944927033832772
26458,masbate,2014-11-11,-0.42128409567185016,1.0319888231204577
26459,masbate,2014-11-12,-0.40610930200598283,-1.260754689385642
26460,masbate,2014-11-13,-0.40307434327280933,-1.64079643185554
26461,masbate,2014-11-14,-0.4091442607391563,-2.873288947030855
26462,masbate,2014-11-15,-0.4152141782055032,0.46637525796003326
26463,masbate,2014-11-16,-0.42128409567185016,-1.3704413780869147
26464,masbate,2014-11-17,-0.39093450834011545,-1.744202576944186
26465,masbate,2014-11-18,-0.40307434327280933,-0.6750821984458173
26466,masbate,2014-11-19,-0.3970044258064624,-3.1518668223183393
26467,masbate,2014-11-20,-0.37879467340742157,-1.7709744397246008
26468,masbate,2014-11-21,-0.4091442607391563,-3.244042541185412
26469,masbate,2014-11-22,-0.4152141782055032,-1.3490102169602447
26470,masbate,2014-11-23,-0.3454101273425134,-4.53420006686272
26471,masbate,2014-11-24,-0.42128409567185016,2.1218921739287193
26472,masbate,2014-11-25,-0.4152141782055032,-1.8623553287966272
26473,masbate,2014-11-26,-0.40307434327280933,-1.5885994337254696
26474,masbate,2014-11-27,-0.40307434327280933,-0.8775438973937637
26475,masbate,2014-11-28,-0.4152141782055032,-1.2439680186227255
26476,masbate,2014-11-29,-0.4091442607391563,-3.367464423511563
26477,masbate,2014-11-30,-0.4121792194723297,-0.6905569618635854
